Lib = 0.2.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], Temp OB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2022/07/28 17:51:48,24.25,24.50,4.42,-20479.84,0.62,5.70,-159,0,39,62.67,0.25,0.50,20.18,
2022/07/28 17:52:02,24.25,24.75,4.43,319.84,1.15,5.39,0,0,34,55.30,0.25,0.38,20.13,
2022/07/28 17:52:17,24.15,24.50,4.42,319.84,0.53,5.11,0,256,39,62.67,0.25,0.50,20.13,
2022/07/28 17:52:32,24.15,24.50,4.42,319.84,0.90,6.42,0,0,39,62.67,0.25,0.50,20.13,
2022/07/28 17:52:47,24.04,24.50,4.42,319.84,0.80,5.77,0,256,39,62.67,0.25,0.50,20.13,
2022/07/28 17:53:02,23.93,24.25,4.42,319.84,0.90,5.75,0,256,39,62.67,0.25,0.50,20.13,
2022/07/28 17:53:17,23.93,24.25,4.42,319.84,0.97,5.57,0,256,39,62.67,0.25,0.50,20.12,
2022/07/28 17:53:32,23.93,24.25,4.43,319.84,1.06,5.54,0,0,39,62.67,0.25,0.50,20.13,
2022/07/28 17:53:47,23.93,24.25,4.42,319.84,1.18,5.04,0,0,39,62.67,0.25,0.50,20.13,
2022/07/28 17:54:02,23.83,24.25,4.42,319.84,1.15,5.10,0,0,39,62.67,0.25,0.50,20.13,
2022/07/28 17:54:17,23.83,24.00,4.42,319.84,0.80,6.19,0,256,39,62.67,0.25,0.50,20.12,
2022/07/28 17:54:32,23.72,24.00,4.42,319.84,1.78,5.85,0,0,39,62.67,0.25,0.50,20.12,
2022/07/28 17:54:47,23.72,24.00,4.42,319.84,1.07,5.40,0,256,39,62.67,0.25,0.50,20.12,
2022/07/28 17:55:02,23.72,24.00,4.42,319.84,0.99,5.06,0,0,39,62.67,0.25,0.50,20.12,
2022/07/28 17:55:17,23.62,24.00,4.42,319.84,1.43,5.75,0,0,39,62.67,0.25,0.50,20.12,
2022/07/28 17:55:32,23.62,24.00,4.42,319.84,0.45,5.65,0,256,40,62.67,0.25,0.50,20.12,
2022/07/28 17:55:47,23.51,24.00,4.42,319.84,10.28,-16.11,0,0,7,9.22,0.25,0.25,20.10,
2022/07/28 17:56:02,23.51,23.75,4.42,319.84,12.14,-17.02,0,0,8,7.37,0.25,0.25,20.12,
2022/07/28 17:56:17,23.51,23.75,4.42,319.84,6.28,-8.37,0,0,20,23.96,0.25,0.38,20.12,
2022/07/28 17:56:32,23.40,23.75,4.42,319.84,15.36,-12.37,7,3072,242,191.69,2.25,3.25,20.13,
2022/07/28 17:56:47,23.40,23.75,4.42,319.84,17.10,4.34,4,2048,172,127.18,1.63,2.25,20.13,
2022/07/28 17:57:02,23.40,23.75,4.42,319.84,7.21,9.55,137,33792,4580,4878.95,70.13,95.00,20.29,
2022/07/28 17:57:17,23.40,23.50,4.42,319.84,4.38,3.57,146,35584,4830,5199.67,74.25,102.00,20.47,
2022/07/28 17:57:32,23.40,23.75,4.43,319.84,3.34,3.99,136,32768,4374,4674.35,65.38,88.88,20.59,
2022/07/28 17:57:47,23.40,23.75,4.42,319.84,5.75,4.90,135,32512,4287,4582.20,63.00,86.50,20.69,
2022/07/28 17:58:02,23.30,23.50,4.43,319.84,4.79,4.99,135,32512,4259,4571.14,62.00,85.50,20.80,
2022/07/28 17:58:17,23.30,23.50,4.42,319.84,5.27,5.37,139,33280,4258,4582.20,61.88,85.38,20.89,
2022/07/28 17:58:32,23.30,23.50,4.42,319.84,6.00,4.92,139,33280,4304,4633.80,63.13,86.50,20.99,
2022/07/28 17:58:47,23.30,23.50,4.42,319.84,6.71,4.90,141,33792,4416,4748.08,66.88,90.13,21.09,
2022/07/28 17:59:02,23.30,23.50,4.42,319.84,5.46,5.03,503,125952,10770,13818.47,395.50,477.38,21.38,
2022/07/28 17:59:17,23.30,23.50,4.42,319.84,6.34,3.96,247,59904,7153,8272.28,147.13,191.75,21.69,
2022/07/28 17:59:32,23.30,23.50,4.42,319.84,6.27,3.79,554,140800,11306,15081.06,455.00,539.38,22.35,
2022/07/28 17:59:47,23.30,23.50,4.42,319.84,4.69,4.28,277,67584,7814,9171.76,169.13,222.25,22.89,
2022/07/28 18:00:02,23.30,23.75,4.42,319.84,6.02,4.76,164,39680,5129,5592.27,83.50,111.25,22.92,
2022/07/28 18:00:17,23.30,23.50,4.43,319.84,5.64,5.08,147,35840,4673,5026.41,71.75,97.38,22.91,
2022/07/28 18:00:32,23.30,23.75,4.42,319.84,5.24,5.01,127,30464,3905,4108.49,55.50,76.00,23.05,
2022/07/28 18:00:47,23.30,23.75,4.42,319.84,6.02,6.01,112,26880,3346,3516.83,44.00,62.13,23.00,
2022/07/28 18:01:02,23.30,23.75,4.42,319.84,5.60,5.87,109,26112,3151,3326.98,40.25,57.63,22.97,
2022/07/28 18:01:17,23.30,23.75,4.42,319.84,4.24,4.65,108,25600,3017,3175.83,37.63,54.50,22.94,
2022/07/28 18:01:32,23.40,23.75,4.42,319.84,5.86,5.19,105,25088,2943,3115.01,36.25,52.88,22.91,
2022/07/28 18:01:47,23.40,23.75,4.42,319.84,4.95,4.94,106,25088,2945,3118.69,36.25,52.88,22.88,
2022/07/28 18:02:02,23.40,23.75,4.42,319.84,5.46,5.20,110,25856,2996,3177.68,37.13,53.88,22.87,
2022/07/28 18:02:17,23.40,23.75,4.42,319.84,5.69,4.89,112,26112,3090,3288.27,39.00,56.00,22.86,
