Lib = 0.2.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], Temp OB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2022/08/22 13:59:29,23.62,23.75,4.40,319.84,7.26,4.31,0,256,55,49.77,0.63,0.88,21.53,
2022/08/22 13:59:43,23.72,23.75,4.40,319.84,7.34,3.55,0,256,57,49.77,0.63,0.88,21.49,
2022/08/22 13:59:58,23.83,24.00,4.40,319.84,6.26,2.86,0,256,56,49.77,0.63,0.88,21.50,
2022/08/22 14:00:13,23.72,24.00,4.40,319.84,-3.97,-3.88,0,512,60,35.02,0.88,1.13,21.52,
2022/08/22 14:00:28,23.83,24.00,4.40,319.84,5.56,-0.18,46,10496,849,881.05,8.50,13.50,21.58,
2022/08/22 14:00:43,23.83,24.00,4.40,319.84,5.52,-0.09,46,10496,849,888.42,8.50,13.50,21.60,
2022/08/22 14:00:58,23.83,24.00,4.40,319.84,6.05,-0.36,49,11520,848,888.42,8.50,13.50,21.62,
2022/08/22 14:01:13,23.83,24.00,4.40,319.84,6.05,-0.81,47,10752,848,888.42,8.50,13.50,21.63,
2022/08/22 14:01:28,23.83,24.00,4.40,319.84,5.41,-0.35,46,10496,850,890.27,8.63,13.50,21.63,
2022/08/22 14:01:43,23.83,24.00,4.41,319.84,5.30,-0.18,47,10752,851,893.95,8.50,13.50,21.62,
2022/08/22 14:01:58,23.83,24.00,4.41,319.84,5.23,0.09,47,10752,854,893.95,8.50,13.50,21.60,
2022/08/22 14:02:13,23.72,24.00,4.40,319.84,6.10,-0.27,47,10752,853,897.64,8.50,13.50,21.58,
2022/08/22 14:02:28,23.83,24.00,4.40,319.84,5.87,0.00,47,10752,854,893.95,8.50,13.63,21.57,
2022/08/22 14:02:43,23.72,24.00,4.40,319.84,6.25,-0.36,47,10752,853,893.95,8.50,13.63,21.55,
2022/08/22 14:02:58,23.72,24.00,4.40,319.84,5.70,0.45,50,11520,853,897.64,8.50,13.63,21.52,
2022/08/22 14:03:13,23.72,24.00,4.40,319.84,5.13,-0.54,47,10752,854,895.80,8.63,13.63,21.50,
2022/08/22 14:03:28,23.62,23.75,4.40,319.84,6.17,-0.27,47,10752,852,893.95,8.63,13.50,21.47,
2022/08/22 14:03:43,23.72,24.00,4.40,319.84,5.85,0.27,47,10752,857,897.64,8.63,13.63,21.45,
2022/08/22 14:03:58,23.62,23.75,4.40,319.84,5.54,-0.18,47,10752,854,895.80,8.50,13.50,21.43,
2022/08/22 14:04:13,23.62,23.75,4.41,319.84,5.46,0.09,47,10752,854,895.80,8.63,13.63,21.40,
2022/08/22 14:04:28,23.62,23.75,4.40,319.84,6.15,-0.27,48,11008,857,897.64,8.50,13.63,21.38,
2022/08/22 14:04:43,23.62,23.75,4.40,319.84,5.69,0.18,48,11008,856,897.64,8.63,13.63,21.36,
2022/08/22 14:04:58,23.51,23.75,4.40,319.84,5.26,0.00,48,10752,858,899.48,8.63,13.63,21.33,
