Lib = 0.2.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], Temp OB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2022/10/30 21:55:18,21.82,21.75,4.38,319.84,5.15,2.51,15,2816,1683,1590.68,23.25,28.25,20.18,
2022/10/30 21:55:33,21.60,21.50,4.38,319.84,1.81,-0.18,40,11520,2147,1898.50,33.88,38.50,20.09,
2022/10/30 21:55:48,21.50,21.75,4.38,319.84,11.26,0.45,41,11520,2237,1986.97,34.63,39.63,20.07,
2022/10/30 21:56:03,21.50,21.50,4.38,319.84,11.28,0.45,44,13056,2339,2097.56,35.88,41.63,20.05,
2022/10/30 21:56:18,21.50,21.75,4.38,319.84,12.01,-0.27,42,12544,2326,2062.54,35.88,41.38,20.04,
2022/10/30 21:56:33,21.39,21.75,4.38,319.84,11.80,0.00,42,12544,2388,2141.80,36.38,42.38,20.02,
2022/10/30 21:56:48,21.29,21.50,4.39,319.84,11.42,0.53,42,12288,2315,2079.13,34.88,40.75,20.00,
2022/10/30 21:57:03,21.29,21.50,4.38,319.84,11.33,0.36,41,12032,2262,2018.30,33.88,39.75,19.98,
2022/10/30 21:57:18,21.08,21.25,4.38,319.84,10.74,-0.27,41,12032,2140,1927.99,31.50,37.13,19.95,
2022/10/30 21:57:33,20.97,21.25,4.38,319.84,12.68,0.19,36,9472,1671,1531.70,24.13,28.50,19.91,
2022/10/30 21:57:48,20.76,21.00,4.38,319.84,9.17,2.87,37,9984,1768,1649.66,24.75,30.00,19.88,
2022/10/30 21:58:03,20.55,20.75,4.39,319.84,9.66,1.42,37,10240,1741,1625.70,24.25,29.38,19.83,
2022/10/30 21:58:18,20.44,20.75,4.39,319.84,9.68,1.81,36,9728,1754,1634.92,24.38,29.63,19.80,
2022/10/30 21:58:33,20.23,20.50,4.39,319.84,10.16,1.70,37,9984,1746,1625.70,24.38,29.38,19.76,
2022/10/30 21:58:48,20.13,20.50,4.38,319.84,10.01,1.95,38,10496,1733,1610.96,24.00,29.00,19.72,
2022/10/30 21:59:03,20.02,20.25,4.38,319.84,9.52,2.70,36,9728,1690,1585.15,23.38,28.50,19.69,
2022/10/30 21:59:18,19.92,20.00,4.39,319.84,9.57,1.87,36,9984,1695,1583.31,23.38,28.38,19.65,
2022/10/30 21:59:33,19.92,20.00,4.38,319.84,9.36,2.13,36,9728,1719,1601.74,23.88,29.00,19.60,
2022/10/30 21:59:48,19.81,20.00,4.39,319.84,9.45,2.43,36,9984,1786,1642.29,25.38,30.38,19.56,
2022/10/30 22:00:03,19.71,20.00,4.38,319.84,10.60,2.42,36,9728,1813,1666.25,25.88,30.88,19.53,
